"dealer_name","location_name","address_line_1","address_line_2","city","state_province","postal_code","country","phone","website","email","dealer_type","active","notes"
"Club Champion","Club Champion Melbourne South","385 Centre Dandenong Road","","Heatherton","VIC","3202","Australia","+61 3 9583 8108","https://clubchampion.com.au/locations/melbourne-south","","","true",""
"Club Champion","Club Champion Mississauga","3105 Unity Drive, Unit 20","","Mississauga","ON","L5L 4L2","Canada","(416) 331-9229","https://clubchampion.ca/locations/mississauga","","","true",""
"Club Champion","Club Champion Needham","924 Great Plain Ave","","Needham","MA","02492-3030","United States","(781) 449-1397","https://clubchampion.com/locations/needham","","","true",""
"Club Champion","Club Champion Newport Beach","3601 Jamboree Road","","Newport Beach","CA","92660","United States","(949) 861-3822","https://clubchampion.com/locations/newport-beach","","","true",""
"Club Champion","Club Champion Orlando","7720 Turkey Lake Rd., Ste 108","","Orlando","FL","32819-5224","United States","(407) 745-5660","https://clubchampion.com/locations/orlando","","","true",""
"Club Champion","Club Champion Overland Park","7400 W. 121st Street","","Overland Park","KS","66213","United States","(913) 498-8580","https://clubchampion.com/locations/overland-park","","","true",""
"Club Champion","Club Champion Pittsburgh","6563 Steubenville Pike","","Pittsburgh","PA","15205","United States","(412) 787-0292","https://clubchampion.com/locations/pittsburgh","","","true",""
"Club Champion","Club Champion Plano","4701 W Park Blvd, Suite 210","","Plano","TX","75093-2326","United States","(972) 985-4240","https://clubchampion.com/locations/plano","","","true",""
"Club Champion","Club Champion Richmond","11747 W. Broad Street","","Richmond","VA","23233","United States","(804) 956-3209","https://clubchampion.com/locations/richmond","","","true",""
"Club Champion","Club Champion San Carlos","1123 Industrial Road","","San Carlos","CA","94070","United States","(650) 453-3062","https://clubchampion.com/locations/san-carlos","","","true",""
"Club Champion","Club Champion Sandy Springs","6690 Roswell Rd, Suite 540","","Sandy Springs","GA","30328-3161","United States","(404) 303-8322","https://clubchampion.com/locations/sandy-springs","","","true",""
"Club Champion","Club Champion Santa Monica","2929 Santa Monica Blvd","","Santa Monica","CA","90404-2413","United States","(424) 744-8645","https://clubchampion.com/locations/santa-monica","","","true",""
"Club Champion","Club Champion Schaumburg","152 E. Golf Rd","","Schaumburg","IL","60173","United States","(630) 635-2180","https://clubchampion.com/locations/schaumburg","","","true",""
"Club Champion","Club Champion Shenandoah","19075 I-45 S","","Shenandoah","TX","77385","United States","(346) 413-6085","https://clubchampion.com/locations/shenandoah","","","true",""
"Club Champion","Club Champion Sydney","1/62-64 O'Riordan Street","","Alexandria","NSW","2015","Australia","+61 2 9669-3200","https://clubchampion.com.au/locations/sydney","","","true",""
"Club Champion","Club Champion Tigard","7215 SW Hazel Fern Road","","Tigard","OR","97224","United States","(503) 352-4782","https://clubchampion.com/locations/tigard","","","true",""
"Club Champion","Club Champion Toronto","31 Scarsdale Road, Unit 3","","North York","ON","M3B 2R2","Canada","(416) 331-9229","https://clubchampion.ca/locations/toronto","","","true",""
"Club Champion","Club Champion Virginia Beach","4625 Virginia Beach Blvd","","Virginia Beach","VA","23462","United States","(757) 497-4145","https://clubchampion.com/locations/virginia-beach","","","true",""
"Club Champion","Club Champion Wayne","179 East Swedesford Rd","","Wayne","PA","19087","United States","(610) 596-1169","https://clubchampion.com/locations/wayne","","","true",""
"Club Champion","Club Champion West Long Branch","310 RT 36, Unit 5","","West Long Branch","NJ","07764","United States","(732) 419-7813","https://clubchampion.com/locations/west-long-branch","","","true",""
"Club Champion","Club Champion White Plains","214 Main Street","","White Plains","NY","10601","United States","(914) 948-2651","https://clubchampion.com/locations/white-plains","","","true",""
"Club Champion","Club Champion Willowbrook","810 75th St","","Willowbrook","IL","60527-7582","United States","(630) 654-8887","https://clubchampion.com/locations/willowbrook","","","true",""
"Club Champion","Club Champion Wilmington","5500 Market Street, Suite 100","","Wilmington","NC","28405","United States","(910) 408-3369","https://clubchampion.com/locations/wilmington","","","true",""
"GOLFTEC","GOLFTEC Ballantyne","15235 John J Delaney Dr. Suite Q","","Charlotte","NC","28277","United States","","","","","true","Center manager: Darren Moses. Source account number: CNC02. Imported from the supplied master retail location list; contact details and coordinates require verification."
"GOLFTEC","GOLFTEC Baybrook","19074 Gulf Freeway","","Friendswood","TX","77546","United States","","","","","true","Center manager: Matt Gray. Source account number: CTX06. Imported from the supplied master retail location list; contact details and coordinates require verification."
"GOLFTEC","GOLFTEC Beaverton","240 NW Lost Springs Terrace, Suite 36","","Portland","OR","97229","United States","","","","","true","Center manager: Nick Warren. Source account number: COR01. Imported from the supplied master retail location list; contact details and coordinates require verification."
"GOLFTEC","GOLFTEC Bellevue","1327 121st Ave NE","","Bellevue","WA","98005","United States","","","","","true","Center manager: Mckay Flanagan. Source account number: CWA01. Imported from the supplied master retail location list; contact details and coordinates require verification."
"GOLFTEC","GOLFTEC Cary","2020 Renaissance Park Place","","Cary","NC","27513","United States","","","","","true","Center manager: Zac Ellis. Source account number: CNC03. Imported from the supplied master retail location list; contact details and coordinates require verification."
"GOLFTEC","GOLFTEC Chandler","7131 W. Ray Road","","Chandler","AZ","85226","United States","","","","","true","Center manager: Xander Walsh. Source account number: CAZ02. Imported from the supplied master retail location list; contact details and coordinates require verification."
"GOLFTEC","GOLFTEC Clearwater","23894 US Hwy 19 N #20","","Clearwater","FL","33765","United States","","","","","true","Center manager: Erik Lentz. Source account number: CFL02. Imported from the supplied master retail location list; contact details and coordinates require verification."
"GOLFTEC","GOLFTEC Deerfield","360 S. Waukegan Rd Suite B-2","","Deerfield","IL","60015","United States","","","","","true","Center manager: Michael Marchbanks. Source account number: CIL05. Imported from the supplied master retail location list; contact details and coordinates require verification."
"GOLFTEC","GOLFTEC Des Plaines","353 N. River Road","","Des Plaines","IL","60016","United States","","","","","true","Center manager: Justin Bentley. Source account number: CIL03. Imported from the supplied master retail location list; contact details and coordinates require verification."
"GOLFTEC","GOLFTEC Eagan","845 Vikings Pkwy. Suite C","","Eagan","MN","55121","United States","","","","","true","Center manager: Zachary Estridge. Source account number: CMN01. Imported from the supplied master retail location list; contact details and coordinates require verification."
"GOLFTEC","GOLFTEC Eden Prairie","12200 Middleset Rd 400","","Eden Prairie","MN","55344","United States","","","","","true","Center manager: Adam Eggert. Source account number: CMN02. Imported from the supplied master retail location list; contact details and coordinates require verification."
"GOLFTEC","GOLFTEC Ellicott City","5725 Richards Valley Rd. Suite A-5","","Ellicott City","MD","21043","United States","","","","","true","Center manager: Gary Mankulish. Source account number: CMD01. Imported from the supplied master retail location list; contact details and coordinates require verification."
"GOLFTEC","GOLFTEC Fairfax","3903 Fair Ridge Dr. Suite J & K","","Fairfax","VA","22033","United States","","","","","true","Center manager: Andrew Merritt. Source account number: CVA01. Imported from the supplied master retail location list; contact details and coordinates require verification."
"GOLFTEC","GOLFTEC Fort Collins South","4700 McMurry Ave. Suite 108","","Fort Collins","CO","80525","United States","","","","","true","Center manager: Brandon McDermott. Source account number: CCO03. Imported from the supplied master retail location list; contact details and coordinates require verification."
"GOLFTEC","GOLFTEC Frisco","8549 Gaylord Parkway Suite 104","","Frisco","TX","75034","United States","","","","","true","Center manager: Brett Williams. Source account number: CTX07. Imported from the supplied master retail location list; contact details and coordinates require verification."
"GOLFTEC","GOLFTEC Halsted Row","2847 N. Halsted","","Chicago","IL","60657","United States","","","","","true","Center manager: Cody Temper. Source account number: CIL02. Imported from the supplied master retail location list; contact details and coordinates require verification."
"GOLFTEC","GOLFTEC Highlands Ranch","2030 E. County Line Rd. Suite L","","Highlands Ranch","CO","80126","United States","","","","","true","Center manager: Vincent Downie. Source account number: CCO01. Imported from the supplied master retail location list; contact details and coordinates require verification."
"GOLFTEC","GOLFTEC Katy","20031 Katy Freeway","","Katy","TX","77450","United States","","","","","true","Center manager: Graham Brannon. Source account number: CTX05. Imported from the supplied master retail location list; contact details and coordinates require verification."
"GOLFTEC","GOLFTEC KCK","3944 Rainbow Blvd.","","Kansas City","KS","66103","United States","","","","","true","Center manager: Kyle O'Keefe. Source account number: CKS02. Imported from the supplied master retail location list; contact details and coordinates require verification."
"GOLFTEC","GOLFTEC Lee's Summit","340 SW Blue Pkwy. #340","","Lee's Summit","MO","64063","United States","","","","","true","Center manager: Dustin Ulm. Source account number: CMO01. Imported from the supplied master retail location list; contact details and coordinates require verification."
"GOLFTEC","GOLFTEC Lehigh Valley","1920 Catasauqua Road","","Allentown","PA","18109","United States","","","","","true","Center manager: Sean Schwarze. Source account number: CPA01. Imported from the supplied master retail location list; contact details and coordinates require verification."
"GOLFTEC","GOLFTEC Lone Tree","South Entrance, 2nd Floor","","Lone Tree","CO","80124","United States","","","","","true","Center manager: Patrick Nuber. Source account number: CCO02. Imported from the supplied master retail location list; contact details and coordinates require verification."
"GOLFTEC","GOLFTEC Memorial City","10403 Katy Freeway Suite 250","","Houston","TX","77024","United States","","","","","true","Center manager: Kendal Putman. Source account number: CTX03. Imported from the supplied master retail location list; contact details and coordinates require verification."
"GOLFTEC","GOLFTEC Minnetonka","187 Cheshire Lane Unit #800","","Plymouth","MN","55441","United States","","","","","true","Center manager: Jarrett Jones. Source account number: CMN03. Imported from the supplied master retail location list; contact details and coordinates require verification."
"GOLFTEC","GOLFTEC Mission Valley","7510 Hazard Center Dr. Suite 417","","San Diego","CA","92108","United States","","","","","true","Center manager: David Robe. Source account number: CCA02. Imported from the supplied master retail location list; contact details and coordinates require verification."
"GOLFTEC","GOLFTEC Naperville","1504 N Naper Blvd. Suite 132","","Naperville","IL","60563","United States","","","","","true","Center manager: James Standhardt. Source account number: CIL01. Imported from the supplied master retail location list; contact details and coordinates require verification."
"GOLFTEC","GOLFTEC Needham","19 Wexford St","","Needham Heights","MA","02494","United States","","","","","true","Center manager: Chris Rogers. Source account number: CMA01. Imported from the supplied master retail location list; contact details and coordinates require verification."
"GOLFTEC","GOLFTEC North Bethesda","5050-B Nicholson Lane","","North Bethesda","MD","20852","United States","","","","","true","Center manager: Kevin Tanner. Source account number: CMD02. Imported from the supplied master retail location list; contact details and coordinates require verification."
"GOLFTEC","GOLFTEC North Raleigh","8800 Harvest Oaks Drive Suite 103","","Raleigh","NC","27615","United States","","","","","true","Center manager: Matt Hall. Source account number: CNC04. Imported from the supplied master retail location list; contact details and coordinates require verification."
"GOLFTEC","GOLFTEC North Scottsdale","23417 N. Pima Rd #B161","","Scottsdale","AZ","85255","United States","","","","","true","Center manager: Thomas Howell Jr. Source account number: CAZ01. Imported from the supplied master retail location list; contact details and coordinates require verification."
"GOLFTEC","GOLFTEC Oak Brook","3011 Butterfield Road, Suite #290","","Oak Brook","IL","60523","United States","","","","","true","Center manager: TJ Sullivan. Source account number: CIL06. Imported from the supplied master retail location list; contact details and coordinates require verification."
"GOLFTEC","GOLFTEC Orland Park","9559 W. 151st St. #5C","","Orland Park","IL","60462","United States","","","","","true","Center manager: Kevin Den Besten. Source account number: CIL07. Imported from the supplied master retail location list; contact details and coordinates require verification."
"GOLFTEC","GOLFTEC Overland Park","8901 W. 95th Street","","Overland Park","KS","66212","United States","","","","","true","Center manager: Brett Beard. Source account number: CKS01. Imported from the supplied master retail location list; contact details and coordinates require verification."
"GOLFTEC","GOLFTEC Plano","340 Coit Rd suite 600","","Plano","TX","75075","United States","","","","","true","Center manager: Liam Todd. Source account number: CTX01. Imported from the supplied master retail location list; contact details and coordinates require verification."
"GOLFTEC","GOLFTEC Pleasanton","4247 Rosewood Dr. Suite 16","","Pleasanton","CA","94588","United States","","","","","true","Center manager: Andrew Loughrin. Source account number: CCA01. Imported from the supplied master retail location list; contact details and coordinates require verification."
"GOLFTEC","GOLFTEC Roseville","2575 Fairview Ave. N. Suite 210","","Roseville","MN","55113","United States","","","","","true","Center manager: CJ Hess. Source account number: CMN04. Imported from the supplied master retail location list; contact details and coordinates require verification."
"GOLFTEC","GOLFTEC Schaumburg","1326 N Roselle Rd. Suite B","","Schaumburg","IL","60195","United States","","","","","true","Center manager: AJ Brown. Source account number: CIL04. Imported from the supplied master retail location list; contact details and coordinates require verification."
"GOLFTEC","GOLFTEC Southlake","2757 E. Southlake Blvd. Suite 120","","Southlake","TX","76092","United States","","","","","true","Center manager: Casey Wagner. Source account number: CTX02. Imported from the supplied master retail location list; contact details and coordinates require verification."
"GOLFTEC","GOLFTEC Sugar Land","16560 Southwest Freeway","","Sugar Land","TX","77479","United States","","","","","true","Center manager: Luke Schott. Source account number: CTX04. Imported from the supplied master retail location list; contact details and coordinates require verification."
"GOLFTEC","GOLFTEC Tualatin","7811 SW Nyberg St.","","Tualatin","OR","97062","United States","","","","","true","Center manager: Brad Hunter. Source account number: COR02. Imported from the supplied master retail location list; contact details and coordinates require verification."
"GOLFTEC","GOLFTEC Tyvola","726 Tyvola Road","","Charlotte","NC","28217","United States","","","","","true","Center manager: Jake Parker. Source account number: CNC01. Imported from the supplied master retail location list; contact details and coordinates require verification."
"GOLFTEC","GOLFTEC Westshore","4142 W. Boy Scout Blvd.","","Tampa","FL","33607","United States","","","","","true","Center manager: Tony Goff. Source account number: CFL01. Imported from the supplied master retail location list; contact details and coordinates require verification."
"GOLFTEC","GOLFTEC Woodbridge","465 Green St. Suite 451","","Woodbridge Township","NJ","07095","United States","","","","","true","Center manager: Brian Gussis. Source account number: CNJ01. Imported from the supplied master retail location list; contact details and coordinates require verification."
"PGA TOUR Superstore","PGA TOUR Superstore Austin","10515 N Mopac Expy","","Austin","TX","78759-5324","United States","512-382-4000","https://www.pgatoursuperstore.com/stores/detail?StoreID=1218","","","true",""
"PGA TOUR Superstore","PGA TOUR Superstore Braintree","450 Grossman Drive","","Braintree","MA","02184-4941","United States","781-817-8988","https://www.pgatoursuperstore.com/stores/detail?StoreID=1220","","","true",""
"PGA TOUR Superstore","PGA TOUR Superstore Charlotte","5341 Ballantyne Commons Pkwy","","Charlotte","NC","28277-0525","United States","980-256-3582","https://www.pgatoursuperstore.com/stores/detail?StoreID=1231","","","true",""
"PGA TOUR Superstore","PGA TOUR Superstore Commack","84 Jericho Turnpike","","Commack","NY","11725-3009","United States","631-980-8148","https://www.pgatoursuperstore.com/stores/detail?StoreID=1246","","","true",""
"PGA TOUR Superstore","PGA TOUR Superstore Downers Grove","1017 Butterfield Road","","Downers Grove","IL","60515-1007","United States","630-824-2080","https://www.pgatoursuperstore.com/stores/detail?StoreID=0702","","","true",""
"PGA TOUR Superstore","PGA TOUR Superstore East Hanover","98 NJ-10","","East Hanover","NJ","07936-2103","United States","973-526-1111","https://www.pgatoursuperstore.com/stores/detail?StoreID=1221","","","true",""
"PGA TOUR Superstore","PGA TOUR Superstore Greenwood Village","9451 East Arapahoe Road","","Greenwood Village","CO","80112-3632","United States","720-266-2400","https://www.pgatoursuperstore.com/stores/detail?StoreID=0601","","","true",""
"PGA TOUR Superstore","PGA TOUR Superstore Oklahoma City","2727 West Memorial Road","","Oklahoma City","OK","73134-8034","United States","405-832-4482","https://www.pgatoursuperstore.com/stores/detail?StoreID=1245","","","true",""
"PGA TOUR Superstore","PGA TOUR Superstore Paramus","295 Route 17 South","","Paramus","NJ","07652-2905","United States","201-649-9170","https://www.pgatoursuperstore.com/stores/detail?StoreID=0901","","","true",""
"PGA TOUR Superstore","PGA TOUR Superstore Roswell","1005 Holcomb Woods Parkway","","Roswell","GA","30076-2738","United States","770-640-0933","https://www.pgatoursuperstore.com/stores/detail?StoreID=0101","","","true",""
"PGA TOUR Superstore","PGA TOUR Superstore Sandy","10355 S State Street","","Sandy","UT","84070-4114","United States","801-308-5760","https://www.pgatoursuperstore.com/stores/detail?StoreID=1204","","","true",""
"PGA TOUR Superstore","PGA TOUR Superstore Southlake","2241 East Southlake Blvd","","Southlake","TX","76092-6852","United States","817-722-5190","https://www.pgatoursuperstore.com/stores/detail?StoreID=0403","","","true",""
"PGA TOUR Superstore","PGA TOUR Superstore White Plains","459 Tarrytown Road","","White Plains","NY","10607-1313","United States","914-323-5578","https://www.pgatoursuperstore.com/stores/detail?StoreID=1227","","","true",""
"PGA TOUR Superstore","PGA TOUR Superstore Woodlands","19075 I-45 S, 105","","Shenandoah","TX","77385-8705","United States","832-616-4400","https://www.pgatoursuperstore.com/stores/detail?StoreID=1206","","","true",""
"PGA TOUR Superstore","","","","Preston","WA","","United States","","","","","true",""
"SCHEELS","Eden Prairie SCHEELS","8301 Flying Cloud Dr","","Eden Prairie","MN","55344","United States","1-952-826-0067","https://www.scheels.com/store/?StoreID=098","","","true",""
"SCHEELS","Johnstown SCHEELS","4755 Ronald Reagan Blvd","","Johnstown","CO","80534","United States","1-970-663-7800","https://www.scheels.com/store/johnstown/092","","","true",""
"SCHEELS","Meridian SCHEELS","700 S Wayfinder Ave","","Meridian","ID","83642","United States","1-208-347-7005","https://www.scheels.com/store/meridian/030","","","true",""
"SCHEELS","Rapid City SCHEELS","1225 Eglin St","","Rapid City","SD","57701","United States","1-605-342-9033","https://www.scheels.com/store/rapid-city/076","","","true",""
"SCHEELS","Sioux City SCHEELS","4400 Sergeant Road #54","","Sioux City","IA","51106","United States","1-712-252-1551","https://www.scheels.com/store/sioux-city/050","","","true",""
"SCHEELS","Tulsa SCHEELS","6929 South Memorial Dr.","","Tulsa","OK","74133","United States","1-918-953-8212","https://www.scheels.com/store/tulsa/028","","","true",""
